borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,26 FINGAL STREET                         ,10312,1,0,1,1982,1199000.0,2015-08-26,2015,2015-08
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,23 EYLANDT STREET                        ,10312,1,0,1,1985,955000.0,2015-12-18,2015,2015-12
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,107 ELMBANK STREET                       ,10312,1,0,1,1999,480800.0,2015-09-18,2015,2015-09
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,11 SANDGAP STREET                        ,10312,1,0,1,1910,157500.0,2015-05-29,2015,2015-05
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,37 SANDGAP STREET                        ,10312,1,0,1,1910,365000.0,2015-12-15,2015,2015-12
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,97 EAGAN AVENUE                          ,10312,1,0,1,1986,383000.0,2015-11-18,2015,2015-11
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,36 SEGUINE PLACE                         ,10312,1,0,1,1986,315000.0,2015-12-21,2015,2015-12
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,4 SEGUINE PLACE                          ,10312,1,0,1,1986,379000.0,2015-05-29,2015,2015-05
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,60 SEGUINE PLACE                         ,10312,1,0,1,1986,325000.0,2015-08-20,2015,2015-08
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,96 JEANNETTE AVENUE                      ,10312,1,0,1,1970,595000.0,2015-12-08,2015,2015-12
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,20 LUCY LOOP                             ,10312,1,0,1,2000,465000.0,2015-05-14,2015,2015-05
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,69 BARB STREET                           ,10312,1,0,1,2004,405000.0,2015-02-24,2015,2015-02
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,60 ENDVIEW STREET                        ,10312,1,0,1,2003,480000.0,2015-11-04,2015,2015-11
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,11 LORRAINE AVENUE                       ,10312,1,0,1,2000,865000.0,2015-01-12,2015,2015-01
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,730 ANNADALE ROAD                        ,10312,1,0,1,1930,455000.0,2015-07-01,2015,2015-07
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,146 RATHBUN AVENUE                       ,10312,1,0,1,1960,510000.0,2015-05-21,2015,2015-05
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,994 DRUMGOOLE ROAD WEST                  ,10312,1,0,1,1960,367500.0,2015-08-18,2015,2015-08
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1002 DRUMGOOLE ROAD WEST                 ,10312,1,0,1,1970,410000.0,2015-12-31,2015,2015-12
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,193 SHELDON AVENUE                       ,10312,1,0,1,1945,250000.0,2015-07-24,2015,2015-07
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,178 STAFFORD AVENUE                      ,10312,1,0,1,1980,925000.0,2015-01-26,2015,2015-01
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,162 STAFFORD AVENUE                      ,10312,1,0,1,2000,710000.0,2015-04-16,2015,2015-04
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,257 CROWN AVENUE                         ,10312,1,0,1,1975,625000.0,2015-12-22,2015,2015-12
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,10 PINE TERRACE                          ,10312,1,0,1,1960,605000.0,2015-04-23,2015,2015-04
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,5119 AMBOY ROAD                          ,10312,1,0,1,1925,750000.0,2015-01-13,2015,2015-01
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,64 TENAFLY PLACE                         ,10312,1,0,1,2014,640479.0,2015-10-08,2015,2015-10
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,952 ANNADALE ROAD                        ,10312,1,0,1,1965,425000.0,2015-10-23,2015,2015-10
Staten Island,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,952 ANNADALE ROAD                        ,10312,1,0,1,1965,445000.0,2015-02-19,2015,2015-02
