borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,19-24 81ST STREET,11370,1.0,0.0,1,1945.0,925000.0,2024-11-25,2024,2024-11
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,19-26 81ST STREET,11370,1.0,0.0,1,1945.0,870000.0,2024-07-02,2024,2024-07
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1948 81ST STREET,11370,1.0,0.0,1,1945.0,589567.0,2024-09-06,2024,2024-09
Queens,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,21-02 81ST STREET,11370,3.0,0.0,3,1950.0,1200000.0,2024-10-08,2024,2024-10
Queens,AIRPORT LA GUARDIA,07 RENTALS - WALKUP APARTMENTS,1949 80TH ST,11370,6.0,0.0,6,1971.0,950000.0,2024-11-06,2024,2024-11
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,40-06 ROCKAWAY BEACH BLVD,11691,1.0,0.0,1,1920.0,230000.0,2024-07-19,2024,2024-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,341 BEACH 40TH STREET,11691,1.0,0.0,1,1920.0,490000.0,2024-02-12,2024,2024-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,3-20 BEACH 43RD STREET,11691,1.0,0.0,1,2006.0,530000.0,2024-11-22,2024,2024-11
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,344 BEACH 44TH STREET,11691,1.0,0.0,1,1920.0,340000.0,2024-09-10,2024,2024-09
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,336 BEACH 45TH STREET,11691,1.0,0.0,1,1920.0,240000.0,2024-03-21,2024,2024-03
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,336 BEACH 45TH STREET,11691,1.0,0.0,1,1920.0,560000.0,2024-07-16,2024,2024-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,64-14 BEACH FRONT ROAD,11692,1.0,0.0,1,2014.0,1280500.0,2024-06-06,2024,2024-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,63-15 BEACH CHANNEL DRIVE,11692,1.0,0.0,1,1950.0,550000.0,2024-04-09,2024,2024-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,411 BEACH 37TH ST,11691,1.0,0.0,1,2008.0,520000.0,2024-07-22,2024,2024-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,494 BEACH 44TH STREET,11691,1.0,0.0,1,1899.0,435000.0,2024-12-19,2024,2024-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,441 BEACH 45TH STREET,11691,1.0,0.0,1,1920.0,425000.0,2024-05-08,2024,2024-05
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,65-20 ALMEDA AVENUE,11692,1.0,0.0,1,1960.0,560038.0,2024-08-07,2024,2024-08
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,65-20 ALMEDA AVENUE,11692,1.0,0.0,1,1960.0,825987.0,2024-02-14,2024,2024-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,6-11 BEACH 65 STREET,11692,1.0,0.0,1,1960.0,400000.0,2024-07-09,2024,2024-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,65-12 ALMEDA AVENUE,11692,1.0,0.0,1,1960.0,600000.0,2024-05-28,2024,2024-05
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,67-02 ALMEDA AVENUE,11692,1.0,0.0,1,1930.0,575000.0,2024-11-21,2024,2024-11
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,440 BEACH 65TH STREET,11692,1.0,0.0,1,1910.0,515000.0,2024-06-06,2024,2024-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,64-07 THURSBY AVE,11692,1.0,0.0,1,1950.0,280000.0,2024-04-22,2024,2024-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,418 BEACH 66 ST,11692,1.0,0.0,1,1935.0,400000.0,2024-11-18,2024,2024-11
