borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Bronx,BATHGATE,01 ONE FAMILY DWELLINGS,4445 PARK AVENUE,10457,1.0,0.0,1,1899.0,388500.0,2019-07-23,2019,2019-07
Bronx,BATHGATE,01 ONE FAMILY DWELLINGS,2327 WASHINGTON AVENUE,10458,1.0,0.0,1,1910.0,110000.0,2019-12-06,2019,2019-12
Bronx,BATHGATE,01 ONE FAMILY DWELLINGS,1948 BATHGATE AVENUE,10457,1.0,0.0,1,1901.0,470000.0,2019-03-08,2019,2019-03
Bronx,BATHGATE,01 ONE FAMILY DWELLINGS,2075 BATHGATE AVENUE,10457,1.0,0.0,1,1899.0,420000.0,2019-05-24,2019,2019-05
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,523 EAST 171 STREET,10457,2.0,0.0,2,1993.0,505000.0,2019-11-14,2019,2019-11
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,517 EAST 171 STREET,10457,2.0,0.0,2,1993.0,630000.0,2019-08-20,2019,2019-08
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,1497 CROTONA PLACE,10456,2.0,0.0,2,1994.0,535000.0,2019-05-08,2019,2019-05
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,559 CLAREMONT PARKWAY,10457,2.0,0.0,2,1995.0,514216.0,2019-02-25,2019,2019-02
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,414 EAST 178 STREET,10457,2.0,0.0,2,1899.0,365000.0,2019-11-21,2019,2019-11
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,4467 PARK AVENUE,10457,2.0,0.0,2,1899.0,310000.0,2019-04-24,2019,2019-04
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,2063 WASHINGTON AVENUE,10457,2.0,0.0,2,1997.0,640000.0,2019-02-07,2019,2019-02
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,476 EAST 186 STREET,10458,2.0,0.0,2,1997.0,640000.0,2019-04-24,2019,2019-04
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,2044 BATHGATE AVE,10457,2.0,0.0,2,1998.0,610000.0,2019-06-28,2019,2019-06
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,2094 WASHINGTON AVE,10457,2.0,0.0,2,1901.0,450000.0,2019-01-31,2019,2019-01
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,2249 BASSFORD AVENUE,10457,2.0,0.0,2,1901.0,500000.0,2019-09-19,2019,2019-09
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,493 FLETCHER PLACE,10457,2.0,0.0,2,1901.0,410000.0,2019-02-18,2019,2019-02
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,506 EAST 183 STREET,10458,2.0,0.0,2,1901.0,477134.0,2019-08-01,2019,2019-08
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,505 EAST 182 STREET,10457,2.0,0.0,2,1901.0,360000.0,2019-08-19,2019,2019-08
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,507 EAST 183 STREET,10458,2.0,0.0,2,1901.0,440000.0,2019-10-24,2019,2019-10
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,509 EAST 183RD STREET,10458,2.0,0.0,2,1901.0,649500.0,2019-08-23,2019,2019-08
Bronx,BATHGATE,02 TWO FAMILY DWELLINGS,2306 BASSFORD AVENUE,10458,2.0,0.0,2,1901.0,370000.0,2019-04-24,2019,2019-04
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,1872 WASHINGTON AVE,10457,3.0,0.0,3,1910.0,495000.0,2019-04-17,2019,2019-04
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,2141 WASHINGTON AVENUE,10457,3.0,0.0,3,1899.0,549855.0,2019-12-24,2019,2019-12
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,459 EAST 181ST STREET,10457,3.0,0.0,3,2006.0,712400.0,2019-08-08,2019,2019-08
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,460 E 183RD ST,10458,3.0,0.0,3,1910.0,300000.0,2019-05-16,2019,2019-05
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,1985 BATHGATE AVENUE,10457,3.0,0.0,3,2000.0,709670.0,2019-08-12,2019,2019-08
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,2158 BATHGATE AVENUE,10457,3.0,0.0,3,1901.0,170000.0,2019-12-12,2019,2019-12
Bronx,BATHGATE,03 THREE FAMILY DWELLINGS,2243 BATHGATE AVENUE,10457,3.0,0.0,3,1901.0,570000.0,2019-11-26,2019,2019-11
Bronx,BATHGATE,05 TAX CLASS 1 VACANT LAND,2233 BATHGATE AVENUE,10457,0.0,0.0,0,,450000.0,2019-09-06,2019,2019-09
Bronx,BATHGATE,07 RENTALS - WALKUP APARTMENTS,1583 WASHINGTON AVENUE,10457,6.0,0.0,6,1899.0,462615.0,2019-06-25,2019,2019-06
Bronx,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,"463 EAST 178TH STREET, 1C",10457,,,1,1935.0,58000.0,2019-07-18,2019,2019-07
